name,carbs_per_100g
"Beef, chuck eye steak, boneless, separable lean and fat, trimmed to 0 fat, select, raw",0
"Beef, rib eye roast, bone-in, lip-on, separable lean only, trimmed to 1/8 fat, all grades, cooked, roasted",0
"Beef, rib eye roast, bone-in, lip-on, separable lean only, trimmed to 1/8 fat, select, cooked, roasted",0
"Beef, rib eye steak/roast, bone-in, lip-on, separable lean only, trimmed to 1/8 fat, select, raw",0
"Beef, rib eye steak/roast, boneless, lip-on, separable lean only, trimmed to 1/8 fat, all grades, raw",0
"Beef, rib eye steak/roast, boneless, lip-on, separable lean only, trimmed to 1/8 fat, choice, raw",0
"Beef, rib eye steak/roast, boneless, lip-on, separable lean only, trimmed to 1/8 fat, select, raw",0
"Beef, rib eye roast, boneless, lip-on, separable lean only, trimmed to 1/8 fat, choice, cooked, roasted",0
"Cheese, fontina",1.55
"Cheese, monterey",0.68
"Cheese, mozzarella, whole milk",2.4
"Cheese, mozzarella, whole milk, low moisture",2.47
"Cheese, mozzarella, part skim milk",2.77
"Cheese, parmesan, hard",3.22
"Cheese, port de salut",0.57
"Cheese, provolone",2.14
"Cheese, ricotta, whole milk",7.27
"Cheese, tilsit",1.88
"Cheese, pasteurized process, American, fortified with vitamin D",4.78
"Cheese, pasteurized process, pimento",1.73
"Cheese, pasteurized process, swiss",2.1
"Cheese food, cold pack, American",8.32
"Cream, fluid, light (coffee cream or table cream)",3.66
"Cream, fluid, light whipping",2.96
"Cream, fluid, heavy whipping",2.84
"Cream, whipped, cream topping, pressurized",12.49
"Milk, filled, fluid, with blend of hydrogenated vegetable oils",4.74
"Milk, filled, fluid, with lauric acid oil",4.74
"Cheese, American, nonfat or fat free",10.53
"Yogurt, Greek, 2% fat, apricot, CHOBANI",12.15
"Dessert topping, powdered",52.54
"Dessert topping, powdered, 1.5 ounce prepared with 1/2 cup milk",17.13
"Dessert topping, pressurized",16.07
"Dessert topping, semi solid, frozen",23.05
"Sour cream, imitation, cultured",6.63
"Milk, reduced fat, fluid, 2% milkfat, with added nonfat milk solids and vitamin A and vitamin D",4.97
"Milk, reduced fat, fluid, 2% milkfat, protein fortified, with added vitamin A and vitamin D",5.49
"Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D",4.99
"Milk, lowfat, fluid, 1% milkfat, with added nonfat milk solids, vitamin A and vitamin D",4.97
"Milk, buttermilk, fluid, cultured, lowfat",4.79
"Milk, low sodium, fluid",4.46
"Milk, dry, whole, with added vitamin D",38.42
"Milk, dry, nonfat, regular, without added vitamin A and vitamin D",51.98
"Milk, canned, evaporated, nonfat, with added vitamin A and vitamin D",11.35
"Milk, chocolate, fluid, commercial, whole, with added vitamin A and vitamin D",10.34
"Milk, chocolate, fluid, commercial, reduced fat, with added vitamin A and vitamin D",12.13
"Milk, chocolate, lowfat, with added vitamin A and vitamin D",10.15
"Milk, sheep, fluid",5.36
"Milk shakes, thick chocolate",21.15
"Milk shakes, thick vanilla",17.75
"Whey, acid, fluid",5.12
"Yogurt, plain, low fat",7.04
"Yogurt, plain, skim milk",7.68
"Yogurt, vanilla, low fat.",13.8
"Yogurt, fruit, low fat,9 g protein/8 oz",18.64
"Milk dessert bar, frozen, made from lowfat milk",32
"Yogurt, Greek, 2% fat,mixed berry blend, CHOBANI",10.94
"Nutritional supplement for people with diabetes, liquid",11.88
"Egg, whole, raw, frozen, salted, pasteurized",0.83
"Yogurt, Greek, plain, nonfat (Includes foods for USDA's Food Distribution Program)",3.6
"Egg, white, dried, stabilized, glucose reduced",4.51
"Cheese spread, American or Cheddar cheese base, reduced fat",10.71
"Cheese, Swiss, nonfat or fat free",3.4
"Cheese, mexican, queso cotija",3.97
"Cheese, cheddar, sharp, sliced",2.13
"Cheese, mozzarella, low moisture, part-skim, shredded",8.06
"Yogurt, Greek, strawberry, nonfat",12.07
"Yogurt, Greek, vanilla, nonfat",10.37
"Yogurt, Greek, plain, lowfat",3.94
"Kefir, lowfat, plain, LIFEWAY",4.77
"Yogurt, Greek, fruit, whole milk",12.29
"Yogurt, vanilla, non-fat",17.04
"Yogurt, Greek, vanilla, lowfat",9.54
"Yogurt, frozen, flavors other than chocolate, lowfat",21
"Yogurt, Greek, 2% fat, pineapple, CHOBANI",12.27
"Milk, chocolate, lowfat, reduced sugar",7.68
"Ice cream, lowfat, no sugar added, cone, added peanuts and chocolate sauce",40.01
"Yogurt, Greek, 2% fat, strawberry banana, CHOBANI",10.24
"Yogurt, Greek, nonfat, Fruit on Bottom, Pomegranate, CHOBANI",12.13
"Yogurt, Greek, Blueberry, CHOBANI",12.78
"Yogurt, Greek, nonfat, Fruit on Bottom, Strawberry, CHOBANI",11.86
"Yogurt, Greek, nonfat, Fruit on Bottom, Blackberry, CHOBANI",15.43
"Spices, bay leaf",74.97
"Spices, caraway seed",49.9
"Spices, cardamom",68.47
"Spices, celery seed",41.35
"Spices, coriander leaf, dried",52.1
"Spices, coriander seed",54.99
"Spices, cumin seed",44.24
"Spices, curry powder",55.83
"Spices, dill seed",55.17
"Spices, ginger, ground",71.62
"Spices, mace, ground",50.5
"Spices, marjoram, dried",60.56
"Spices, mustard seed, ground",28.09
"Spices, parsley, dried",50.64
"Spices, pepper, black",63.95
"Spices, pepper, red or cayenne",56.63
"Spices, pepper, white",68.61
"Spices, saffron",65.37
"Spices, sage, ground",60.73
"Spices, savory, ground",68.73
"Spices, tarragon, dried",50.22
"Spices, thyme, dried",63.94
"Babyfood, vegetables, peas, strained",8.36
"Babyfood, peas, dices, toddler",10.3
"Babyfood, vegetables, spinach, creamed, strained",5.7
"Babyfood, fruit, apricot with tapioca, junior",17.3
"Babyfood, fruit, pears, junior",11.6
"Babyfood, fruit, plums with tapioca, without ascorbic acid, strained",19.7
"Babyfood, fruit, plums with tapioca, without ascorbic acid, junior",20.5
"Babyfood, fruit, prunes with tapioca, without ascorbic acid, strained",18.5
"Babyfood, fruit, applesauce and apricots, strained",11.64
"Babyfood, fruit, applesauce and apricots, junior",12.4
"Babyfood, fruit, applesauce and cherries, strained",14.1
"Babyfood, fruit, applesauce and cherries, junior",14.1
"Babyfood, fruit, applesauce with banana, junior",16.16
"Babyfood, fruit and vegetable, apple and sweet potato",15.3
"Babyfood, fruit, bananas and pineapple with tapioca, junior",18.4
"Babyfood, fruit, bananas and pineapple with tapioca, strained",17.8
"Babyfood, fruit, pears and pineapple, strained",10.9
"Babyfood, fruit, bananas with apples and pears, strained",19.31
"Babyfood, fruit, apple and blueberry, strained",16.3
"Babyfood, fruit, apple and blueberry, junior",16.6
"Babyfood, juice, apple",11.7
"Babyfood, juice, orange and apple and banana",11.5
"Babyfood, juice, orange and apricot",10.9
"Babyfood, juice, orange and banana",11.9
"Babyfood, juice, orange and pineapple",11.7
"Babyfood, cereal, mixed, dry fortified",78.21
"Babyfood, cereal, mixed, with bananas, dry",77.1
"Babyfood, cereal, mixed, with applesauce and bananas, strained",18.38
"Babyfood, cereal, mixed, with applesauce and bananas, junior, fortified",18.79
"Babyfood, cereal, oatmeal, with honey, dry",69.3
"Babyfood, cereal, rice, dry fortified",83.14
"Babyfood, cereal, rice, with applesauce and bananas, strained",17.1
"Babyfood, cereal, with egg yolks, strained",7
"Babyfood, crackers, vegetable",66.85
"Babyfood, cereal, high protein, with apple and orange, dry",57.6
"Babyfood, cereal, rice, with bananas, dry",79.9
"Babyfood, cookies",67.1
"Babyfood, dessert, dutch apple, strained",19.74
"Babyfood, dessert, dutch apple, junior",19.18
"Babyfood, cherry cobbler, junior",19.2
"Babyfood, dessert, cherry vanilla pudding, strained",17.8
"Babyfood, dessert, peach melba, strained",16.5
"Babyfood, dessert, peach melba, junior",16.4
"Babyfood, dessert, fruit pudding, pineapple, strained",20.3
"Babyfood, dessert, fruit dessert, without ascorbic acid, strained",16
"Babyfood, juice, fruit punch, with calcium",12.7
"Babyfood, juice, apple, with calcium",11.1
"Infant Formula, MEAD JOHNSON, ENFAMIL, ENFACARE, ready-to-feed, with ARA and DHA",7.73
"Babyfood, yogurt, whole milk, with fruit, multigrain cereal and added DHA fortified",13.22
"Infant formula, ABBOTT NUTRITION, ALIMENTUM ADVANCE, with iron, powder, not reconstituted, with DHA and ARA",51.91
"Babyfood, mashed cheddar potatoes and broccoli, toddlers",7.47
"Babyfood, yogurt, whole milk, with fruit, multigrain cereal and added iron fortified",13
"Infant formula, NESTLE, GOOD START SOY, with DHA and ARA, liquid concentrate",14.71
"Toddler formula, MEAD JOHNSON, ENFAGROW, Toddler Transitions, with ARA and DHA, powder",52.8
"Toddler formula, MEAD JOHNSON, ENFAGROW PREMIUM (formerly ENFAMIL, LIPIL, NEXT STEP), ready-to-feed",7.18
"Infant Formula, MEAD JOHNSON, ENFAMIL, Newborn, with DHA and ARA, ready-to-feed",7.81
"Infant formula, GERBER, GOOD START 2 Soy, with iron, ready-to-feed",7.15
"Infant formula, GERBER, GOOD START, PROTECT PLUS, ready-to-feed",7.17
"Infant Formula, GERBER GOOD START 2, GENTLE PLUS, ready-to-feed",7.61
"Babyfood, fruit, banana and strawberry, junior",25.78
"Babyfood, banana with mixed berries, strained",21.31
"Babyfood, Multigrain whole grain cereal, dry fortified",80.06
"Babyfood, Baby MUM MUM Rice Biscuits",83.21
"Salad dressing, KRAFT Mayo Light Mayonnaise",8.5
"Salad dressing, KRAFT Mayo Fat Free Mayonnaise Dressing",15.8
"Salad dressing, KRAFT MIRACLE WHIP FREE Nonfat Dressing",15.5
"Salad dressing, russian dressing",31.9
"Salad dressing, sesame seed dressing, regular",8.6
"Salad dressing, russian dressing, low calorie",27.6
"Salad dressing, thousand island dressing, reduced fat",24.06
"Salad dressing, mayonnaise, regular",0.57
"Salad dressing, mayonnaise, soybean and safflower oil, with salt",2.7
"Shortening, household, soybean (partially hydrogenated)-cottonseed (partially hydrogenated)",0
"Oil, soybean, salad or cooking, (partially hydrogenated)",0
"Oil, rice bran",0
"Oil, wheat germ",0
"Oil, palm",0
"Oil, sesame, salad or cooking",0
"Oil, sunflower, linoleic (less than 60%)",0
"Margarine, regular, hard, soybean (hydrogenated)",0.9
"Salad dressing, italian dressing, commercial, regular",12.12
"Salad dressing, french dressing, commercial, regular, without salt",15.58
"Salad dressing, french dressing, reduced fat, without salt",29.28
"Salad dressing, italian dressing, commercial, regular, without salt",10.43
"Salad dressing, italian dressing, reduced fat, without salt",4.57
"Oil, cottonseed, salad or cooking",0
"Oil, sunflower, linoleic, (approx. 65%)",0
"Oil, safflower, salad or cooking, linoleic, (over 70%)",0
"Oil, safflower, salad or cooking, high oleic (primary safflower oil of commerce)",0
"Oil, grapeseed",0
"Oil, corn, industrial and retail, all purpose salad or cooking",0
"Oil, walnut",0
"Oil, almond",0
"Oil, apricot kernel",0
"Oil, vegetable, Natreon canola, high stability, non trans, high oleic (70%)",0
"Salad dressing, honey mustard dressing, reduced calorie",28.26
"Margarine-like spread, BENECOL Light Spread",5.71
"Salad dressing, spray-style dressing, assorted flavors",16.6
"Salad Dressing, mayonnaise, light, SMART BALANCE, Omega Plus light",9.39
"Margarine-like, vegetable oil spread, 60% fat, tub, with salt, with added vitamin D",0.86
"Margarine-like vegetable-oil spread, stick/tub/bottle, 60% fat, with added vitamin D",0
"Margarine, regular, 80% fat, composite, stick, without salt, with added vitamin D",0.7
"Margarine-like, vegetable oil spread, 60% fat, stick/tub/bottle, without salt, with added vitamin D",0.86
"Oil, industrial, canola, high oleic",0
"Salad dressing, honey mustard, regular",23.33
"Salad dressing, poppyseed, creamy",23.73
"Salad dressing, caesar, fat-free",30.73
"Dressing, honey mustard, fat-free",38.43
"Chicken, broilers or fryers, meat and skin and giblets and neck, raw",0.13
"Chicken, broilers or fryers, meat and skin and giblets and neck, cooked, fried, batter",9.03
"Chicken, broilers or fryers, meat and skin and giblets and neck, cooked, fried, flour",3.27
"Chicken, broilers or fryers, meat and skin and giblets and neck, roasted",0.06
"Chicken, broilers or fryers, meat and skin, cooked, stewed",0
"Chicken, broilers or fryers, meat only, raw",0
"Chicken, broilers or fryers, meat only, cooked, fried",1.69
"Chicken, broilers or fryers, meat only, cooked, roasted",0
"Chicken, broilers or fryers, skin only, cooked, roasted",0
"Chicken, broilers or fryers, skin only, cooked, stewed",0
"Chicken, broilers or fryers, giblets, raw",1.8
"Chicken, broilers or fryers, giblets, cooked, fried",4.35
"Chicken, heart, all classes, cooked, simmered",0.1
"Chicken, liver, all classes, raw",0.73
"Chicken, liver, all classes, cooked, simmered",0.87
"Chicken, broilers or fryers, light meat, meat and skin, raw",0
"Chicken, broilers or fryers, dark meat, meat and skin, cooked, fried, batter",9.38
"Chicken, broilers or fryers, dark meat, meat and skin, cooked, fried, flour",4.08
"Chicken, broilers or fryers, dark meat, meat and skin, cooked, roasted",0
"Chicken, broilers or fryers, dark meat, meat and skin, cooked, stewed",0
"Chicken, broilers or fryers, dark meat, meat only, raw",0
"Chicken, broilers or fryers, dark meat, meat only, cooked, fried",2.59
"Chicken, broilers or fryers, dark meat, meat only, cooked, roasted",0
"Chicken, broilers or fryers, dark meat, meat only, cooked, stewed",0
"Chicken, broilers or fryers, back, meat and skin, cooked, roasted",0
"Chicken, broilers or fryers, back, meat and skin, cooked, stewed",0
"Chicken, broilers or fryers, back, meat only, raw",0
"Chicken, broilers or fryers, back, meat only, cooked, fried",5.68
"Chicken, broilers or fryers, breast, meat and skin, cooked, roasted",0
"Chicken, broilers or fryers, breast, meat and skin, cooked, stewed",0
"Chicken, broiler or fryers, breast, skinless, boneless, meat only, raw",0
"Chicken, broilers or fryers, breast, meat only, cooked, fried",0.51
"Squab, (pigeon), meat only, raw",0
"Squab, (pigeon), light meat without skin, raw",0
"Turkey, whole, meat and skin, raw",0.14
"Turkey, whole, skin (light and dark), roasted",0.57
"Turkey, whole, giblets, raw",0.07
"Turkey, whole, giblets, cooked, simmered",0
"Turkey, gizzard, all classes, raw",0
"Turkey, whole, neck, meat only, raw",0
"Turkey, whole, neck, meat only, cooked, simmered",0
"Turkey, whole, light meat, meat and skin, raw",0.15
"Turkey, whole, light meat, meat and skin, cooked, roasted",0.05
"Turkey, whole, dark meat, meat only, raw",0.15
"Turkey, whole, dark meat, cooked, roasted",0
"Turkey, all classes, back, meat and skin, cooked, roasted",0.16
"Turkey, all classes, breast, meat and skin, raw",0
"Turkey, all classes, wing, meat and skin, cooked, roasted",0
"Turkey, fryer-roasters, meat and skin, cooked, roasted",0
"Turkey, whole, back, meat only, raw",0.15
"Turkey, whole, back, meat only, cooked, roasted",0
"Turkey, whole, breast, meat only, raw",0.14
"Chicken, canned, meat only, with broth",0
"Pate de foie gras, canned (goose liver pate), smoked",4.67
"Turkey, canned, meat only, with broth",1.47
"Turkey, diced, light and dark meat, seasoned",1
"Turkey sticks, breaded, battered, fried",17
"Poultry, mechanically deboned, from backs and necks with skin, raw",0
"Poultry, mechanically deboned, from backs and necks without skin, raw",0
"Poultry, mechanically deboned, from mature hens, raw",0
"Chicken, cornish game hens, meat and skin, cooked, roasted",0
"Chicken, cornish game hens, meat only, raw",0
"Chicken, cornish game hens, meat only, cooked, roasted",0
"Chicken, canned, no broth",0.9
"Chicken, wing, frozen, glazed, barbecue flavored",3.34
"Duck, young duckling, domesticated, White Pekin, leg, meat and skin, bone in, cooked, roasted",0
"Duck, young duckling, domesticated, White Pekin, leg, meat only, bone in, cooked without skin, braised",0
"Chicken, broiler, rotisserie, BBQ, drumstick, meat only",0
"Chicken, wing, frozen, glazed, barbecue flavored, heated (conventional oven)",3.36
"Chicken, ground, raw",0.04
"Chicken, ground, crumbles, cooked, pan-browned",0
"Chicken, broiler, rotisserie, BBQ, thigh, meat only",0
"Chicken, feet, boiled",0.2
"Chicken, broilers or fryers, rotisserie, original seasoning, thigh, meat only, cooked",0
"Chicken, broilers or fryers, rotisserie, original seasoning, wing, meat only, cooked",0
"Chicken, broilers or fryers, rotisserie, original seasoning, back, meat and skin, cooked",0.03
"Chicken, broilers or fryers, rotisserie, original seasoning, breast, meat and skin, cooked",0.02
"Chicken, broiler, rotisserie, BBQ, back, meat and skin",0.4
"Chicken, broiler, rotisserie, BBQ, breast, meat and skin",0.09
"Chicken, broiler, rotisserie, BBQ, drumstick, meat and skin",0.12
"Chicken, broiler, rotisserie, BBQ, thigh, meat and skin",0.12
"Turkey, drumstick, from whole bird, meat only, with added solution, roasted",0
"Turkey, thigh, from whole bird, meat only, with added solution, raw",0.15
"Turkey, retail parts, breast, meat and skin, with added solution, raw",0.03
"Turkey, thigh, from whole bird, meat only, with added solution, roasted",0
"Turkey, retail parts, wing, meat and skin, raw",0.05
"Turkey, retail parts, wing, meat and skin, cooked, roasted",0.13
"Turkey, retail parts, drumstick, meat and skin, raw",0
"Turkey, retail parts, drumstick, meat and skin, cooked, roasted",0
"Turkey, drumstick, from whole bird, meat only, raw",0.14
"Turkey, retail parts, thigh, meat and skin, cooked, roasted",0.41
"Turkey, back, from whole bird, meat and skin, with added solution, raw",0.15
"Turkey, back, from whole bird, meat and skin, with added solution, roasted",0
"Chicken, broiler or fryers, breast, skinless, boneless, meat only, cooked, braised",0
"Soup, black bean, canned, condensed",15.42
"Soup, bean with pork, canned, condensed",16.97
"Soup, bean with frankfurters, canned, condensed",16.75
"Soup, bean with ham, canned, chunky, ready-to-serve",11.16
"Soup, chicken, canned, chunky, ready-to-serve",6.88
"Soup, cream of chicken, canned, condensed",7.16
"Soup, chicken gumbo, canned, condensed",6.67
"Soup, chunky chicken noodle, canned, ready-to-serve",4.46
"Soup, chicken vegetable, canned, condensed",7.01
"Soup, chili beef, canned, condensed",18.86
"Soup, clam chowder, manhattan style, canned, chunky, ready-to-serve",7.84
"Soup, clam chowder, manhattan, canned, condensed",9.74
"Soup, minestrone, canned, condensed",9.17
"Soup, mushroom barley, canned, condensed",9.6
"Soup, cream of mushroom, canned, condensed",6.8
"Soup, mushroom with beef stock, canned, condensed",7.41
"Soup, pea, split with ham, canned, condensed",20.81
"Soup, cream of potato, canned, condensed",12.79
"Soup, cream of shrimp, canned, condensed",6.53
"Soup, tomato beef with noodle, canned, condensed",16.87
"Soup, vegetarian vegetable, canned, condensed",9.78
"Soup, chunky beef, canned, ready-to-serve",10.08
"Soup, vegetable beef, canned, condensed",8.11
"Soup, vegetable with beef broth, canned, condensed",10.7
"Soup, onion, dry, mix",65.07
"Soup, cream of vegetable, dry, powder",52.1
"Sauce, teriyaki, ready-to-serve",15.56
"Gravy, au jus, canned",2.5
"Gravy, au jus, dry",47.49
"Gravy, mushroom, canned",5.47
"Gravy, mushroom, dry, powder",64.66
"Gravy, onion, dry, mix",67.64
"Gravy, pork, dry, powder",63.57
"Sauce, sofrito, prepared from recipe",5.46
"Soup, beef mushroom, canned, condensed",5.2
"Soup, tomato, canned, prepared with equal volume water, commercial",7.45
"Soup, ramen noodle, any flavor, dry",60.26
"Soup, broccoli cheese, canned, condensed, commercial",7.7
"Soup, SWANSON, beef broth, lower sodium",0.21
"Soup, SWANSON, vegetable broth",1.02
"SMART SOUP, Indian Bean Masala",10.5
"SMART SOUP, Moroccan Chick Pea",9.7
"SMART SOUP, Thai Coconut Curry",6.5
"SMART SOUP, Vietnamese Carrot Lemongrass",8.2
"Sauce, pesto, MEZZETTA, NAPA VALLEY BISTRO, basil pesto, ready-to-serve",5.12
"Sauce, hot chile, sriracha",19.16
"Sauce, hot chile, sriracha, CHA! BY TEXAS PETE",22.73
"Sauce, hot chile, sriracha, TUONG OT SRIRACHA",15.87
"Soup, vegetable beef, microwavable, ready-to-serve, single brand",3.3
"Soup, beef and vegetables, canned, ready-to-serve",6.16
"Sauce, cheese, ready-to-serve",6.83
"Sauce, pasta, spaghetti/marinara, ready-to-serve",7.43
"Beef, chuck, short ribs, boneless, separable lean only, trimmed to 0 fat, select, raw",0
"Beef, chuck eye Country-Style ribs, boneless, separable lean only, trimmed to 0 fat, select, raw",0
"Beef, chuck eye Country-Style ribs, boneless, separable lean only, trimmed to 0 fat, all grades, raw",0
"Beef, chuck eye steak, boneless, separable lean only, trimmed to 0 fat, choice, cooked, grilled",0
"Beef, chuck eye steak, boneless, separable lean only, trimmed to 0 fat, select, cooked, grilled",0
"Beef, shoulder pot roast, boneless, separable lean only, trimmed to 0 fat, choice, cooked, braised",0
"Beef, shoulder pot roast, boneless, separable lean only, trimmed to 0 fat, select, cooked, braised",0
"Beef, shoulder pot roast, boneless, separable lean only, trimmed to 0 fat, all grades, cooked, braised",0
"Beef, chuck, mock tender steak, boneless, separable lean only, trimmed to 0 fat, choice, cooked, braised",0
"Beef, chuck, mock tender steak, boneless, separable lean only, trimmed to 0 fat, all grades, raw",0
"Beef, chuck for stew, separable lean and fat, all grades, cooked, braised",0
"Beef, chuck for stew, separable lean and fat, select, cooked, braised",0
"Beef, chuck for stew, separable lean and fat, choice, cooked, braised",0
"Beef, chuck for stew, separable lean and fat, all grades, raw",0.16
"Beef, chuck, under blade steak, boneless, separable lean only, trimmed to 0 fat, all grades, cooked, braised",0
"Beef, chuck, under blade pot roast, boneless, separable lean and fat, trimmed to 0 fat, all grades, cooked, braised",0
"Beef, rib eye steak, boneless, lip-on, separable lean only, trimmed to 1/8 fat, all grades, cooked, grilled",0
"Beef, rib eye roast, bone-in, lip-on, separable lean only, trimmed to 1/8 fat, choice, cooked, roasted",0
"Beef, chuck, under blade center steak, boneless, Denver Cut, separable lean and fat, trimmed to 0 fat, choice, cooked, grilled",0.4
"Beef, chuck, under blade center steak, boneless, Denver Cut, separable lean and fat, trimmed to 0 fat, select, cooked, grilled",0
"Beef, chuck, under blade center steak, boneless, Denver Cut, separable lean and fat, trimmed to 0 fat, all grades, raw",0.36
"Beef, chuck, under blade center steak, boneless, Denver Cut, separable lean and fat, trimmed to 0 fat, choice, raw",0.53
"Beef, chuck eye roast, boneless, America's Beef Roast, separable lean and fat, trimmed to 0 fat, choice, cooked, roasted",0
"Beef, chuck eye roast, boneless, America's Beef Roast, separable lean and fat, trimmed to 0 fat, select, cooked, roasted",0
"Beef, chuck, under blade steak, boneless, separable lean and fat, trimmed to 0 fat, all grades, cooked, braised",0
"Beef, chuck, under blade steak, boneless, separable lean and fat, trimmed to 0 fat, choice, cooked, braised",0
"Beef, chuck, under blade steak, boneless, separable lean and fat, trimmed to 0 fat, select, cooked, braised",0
"Beef, chuck, mock tender steak, boneless, separable lean and fat, trimmed to 0 fat, choice, raw",0
"Beef, chuck, mock tender steak, boneless, separable lean and fat, trimmed to 0 fat, select, raw",0
"Beef, chuck, short ribs, boneless, separable lean and fat, trimmed to 0 fat, all grades, cooked, braised",0
"Beef, chuck, short ribs, boneless, separable lean and fat, trimmed to 0 fat, choice, cooked, braised",0
"Beef, shoulder pot roast, boneless, separable lean and fat, trimmed to 0 fat, all grades, cooked, braised",0
"Beef, shoulder pot roast, boneless, separable lean and fat, trimmed to 0 fat, choice, cooked, braised",0
"Beef, shoulder pot roast, boneless, separable lean and fat, trimmed to 0 fat, select, cooked, braised",0
"Beef, chuck eye Country-Style ribs, boneless, separable lean and fat, trimmed to 0 fat, all grades, cooked, braised",0
"Beef, chuck eye steak, boneless, separable lean and fat, trimmed to 0 fat, all grades, cooked, grilled",0
"Beef, chuck eye steak, boneless, separable lean and fat, trimmed to 0 fat, choice, cooked, grilled",0
"Beef, chuck eye steak, boneless, separable lean and fat, trimmed to 0 fat, select, cooked, grilled",0
"Beef, chuck eye steak, boneless, separable lean and fat, trimmed to 0 fat, all grades, raw",0
"Beef, rib eye steak, boneless, lip-on, separable lean only, trimmed to 1/8 fat, choice, cooked, grilled",0
"Beef, rib eye steak, boneless, lip-on, separable lean only, trimmed to 1/8 fat, select, cooked, grilled",0
"Beef, rib eye steak/roast, bone-in, lip-on, separable lean only, trimmed to 1/8 fat, all grades, raw",0
"Beef, rib eye steak/roast, bone-in, lip-on, separable lean only, trimmed to 1/8 fat, choice, raw",0
"Beef, rib eye steak, bone-in, lip-on, separable lean only, trimmed to 1/8 fat, all grades, cooked, grilled",0
"Beef, rib eye steak, bone-in, lip-on, separable lean only, trimmed to 1/8 fat, choice, cooked, grilled",0
"Beef, rib eye steak, bone-in, lip-on, separable lean only, trimmed to 1/8 fat, select, cooked, grilled",0
"Beef, rib eye roast, boneless, lip-on, separable lean only, trimmed to 1/8 fat, all grades, cooked, roasted",0
"Cheese, gjetost",42.65
"Cheese, gouda",2.22
"Cheese, gruyere",0.36
"Cheese, limburger",0.49
"Cheese, mozzarella, low moisture, part-skim",5.58
"Cheese, muenster",1.12
"Cheese, neufchatel",3.59
"Cheese, parmesan, grated",13.91
"Cheese, ricotta, part skim milk",5.14
"Cheese, romano",3.63
"Cheese, roquefort",2
"Cheese, swiss",1.44
"Cheese food, pasteurized process, American, vitamin D fortified",8.56
"Cheese food, pasteurized process, swiss",4.5
"Cheese spread, pasteurized process, American",8.73
"Cream, fluid, half and half",4.3
"Cream, sour, reduced fat, cultured",4.26
"Cream, sour, cultured",4.63
"Eggnog",8.05
"Sour dressing, non-butterfat, cultured, filled cream-type",4.68
"Yogurt, Greek, 2%fat, coconut blend, CHOBANI",11.04
"Cream substitute, liquid, with hydrogenated vegetable oil and soy protein",11.38
"Cream substitute, liquid, with lauric acid oil and sodium caseinate",11.38
"Cream substitute, powdered",59.29
"Milk substitutes, fluid, with lauric acid oil",6.16
"Milk, whole, 3.25% milkfat, with added vitamin D",4.8
"Milk, producer, fluid, 3.7% milkfat",4.65
"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D",4.8
"Milk, lowfat, fluid, 1% milkfat, protein fortified, with added vitamin A and vitamin D",5.52
"Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)",4.96
"Milk, nonfat, fluid, with added nonfat milk solids, vitamin A and vitamin D (fat free or skim)",5.02
"Milk, nonfat, fluid, protein fortified, with added vitamin A and vitamin D (fat free and skim)",5.56
"Milk, dry, nonfat, instant, with added vitamin A and vitamin D",52.19
"Milk, dry, nonfat, calcium reduced",51.8
"Milk, buttermilk, dried",49
"Milk, canned, condensed, sweetened",54.4
"Milk, canned, evaporated, with added vitamin D and without added vitamin A",10.04
"Milk, chocolate beverage, hot cocoa, homemade",10.74
"Milk, goat, fluid, with added vitamin D",4.45
"Milk, human, mature, fluid",6.89
"Milk, indian buffalo, fluid",5.18
"Whey, acid, dried",73.45
"Whey, sweet, fluid",5.14
"Whey, sweet, dried",74.46
"Yogurt, plain, whole milk",4.66
"Yogurt, fruit, low fat, 10 grams protein per 8 ounce",19.05
"Yogurt, fruit, low fat, 11g protein/8 oz",18.6
"Egg, whole, raw, fresh",0.72
"Cheese, Mexican blend",0.13
"Cheese product, pasteurized process, American, vitamin D fortified",8.85
"Cheese, pasteurized process, American, without added vitamin D",3.7
"Cheese food, pasteurized process, American, without added vitamin D",8.56
"Cheese, cheddar, reduced fat (Includes foods for USDA's Food Distribution Program)",2.67
"Ice cream, light, soft serve, chocolate",23.15
"Ice cream bar, stick or nugget, with crunch coating",37.12
"Cheese, cheddar, nonfat or fat free",7.14
"Yogurt, Greek, nonfat, vanilla, CHOBANI",8.09
"Yogurt, Greek, strawberry, DANNON OIKOS",11.67
"Yogurt, Greek, nonfat, vanilla, DANNON OIKOS",12.72
"Yogurt, Greek, nonfat, strawberry, DANNON OIKOS",12.53
"Yogurt, Greek, strawberry, lowfat",12.29
"Kefir, lowfat, strawberry, LIFEWAY",10.2
"Milk, evaporated, 2% fat, with added vitamin A and vitamin D",15.74
"Milk, chocolate, fat free, with added vitamin A and vitamin D",13.46
"Yogurt, Greek, plain, whole milk",3.98
"Ice cream bar, covered with chocolate and nuts",11.89
"Ice cream sundae cone",28.89
"Light ice cream, Creamsicle",32.75
"Cream, half and half, lowfat",3.33
"Yogurt, Greek, whole, plain, CHOBANI",3.24
"Yogurt, Greek, nonfat, lemon blend, CHOBANI",10.66
